Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,# of Customers Affected Cleaned,Tags,Regions_raw,Region
Suspected Physical Attack,2014,6/11/2014,9:30 AM,6/11/2014,9:31 AM,Tucson Electric Power,"Nogales, Arizona",WECC,,,,"vandalism, physical","Nogales, Arizona",Arizona
Severe Weather - Thunderstorms,2014,6/10/2014,9:50 PM,6/11/2014,2:30 PM,American Electric Power,West Virginia,RFC,Unknown,"66,383","66,383","severe weather, thunderstorm",West Virginia,West Virginia
Electrical System Islanding,2014,6/9/2014,11:07 AM,6/9/2014,11:30 AM,Peak Reliability,"Alberta, Canada",WECC,Unknown,Unknown,,islanding,"Alberta, Canada",Canada
Severe Weather - Thunderstorms,2014,6/7/2014,11:00 PM,6/8/2014,5:30 AM,Southern Company,"North and Central , Alabama",SERC,217,"65,000","65,000","severe weather, thunderstorm","North and Central , Alabama",Alabama
Fuel Supply Emergency - Coal,2014,6/6/2014,1:00 PM,Unknown,Unknown,"Luminant Energy Company, LLC",Texas,ERCOT,Unknown,Unknown,,"fuel supply emergency, coal",Texas,Texas
Severe Weather - Thunderstorms,2014,6/5/2014,3:00 AM,6/7/2014,11:45 PM,Memphis Light Gas and Water Division,"Shelby County, Tennessee",SERC,494,"38,500","38,500","severe weather, thunderstorm","Shelby County, Tennessee",Tennessee
Severe Weather - Thunderstorms,2014,6/5/2014,1:06 PM,6/5/2014,1:07 PM,Tennessee Valley Authority,West Tennessee,SERC,Unknown,"56,475","56,475","severe weather, thunderstorm",West Tennessee,Tennessee
Electrical System Islanding,2014,6/3/2014,3:32 PM,6/3/2014,3:59 PM,Peak Reliability,"Alberta, Canada",WECC,338,,,islanding,"Alberta, Canada",Canada
Physical Attack - Vandalism,2014,6/3/2014,1:38 AM,6/3/2014,1:43 AM,Lower Colorado River Authority,Texas,ERCOT,Unknown,Unknown,,"vandalism, physical",Texas,Texas
Physical Attack - Vandalism,2014,5/27/2014,11:00 AM,5/27/2014,4:53 PM,Arizona Public Service Co,"Phoenix, Arizona",WECC,,,,"vandalism, physical",Arizona,Arizona
Electrical System Separation (Islanding),2014,5/26/2014,12:31 PM,5/26/2014,1:18 PM,Peak Reliability,"British Columbia & Alberta, Canada",WECC,Unknown,Unknown,,islanding,Canada,Canada
Physical Attack - Vandalism,2014,5/23/2014,3:00 PM,5/25/2014,7:00 PM,Duke Energy Progress,North Carolina,SERC,Unknown,Unknown,,"vandalism, physical",North Carolina,North Carolina
Physical Attack - Vandalism,2014,5/20/2014,7:01 AM,5/20/2014,7:02 AM,PacifiCorp,"Duchesne County, Utah",WECC,,,,"vandalism, physical","Duchesne County, Utah",Utah
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/16/2014,10:43 AM,5/16/2014,9:00 PM,San Diego Gas & Electric Co,"San Diego & Orange Counties, California",WECC,"3,900","1,400,000","1,400,000","wild fire, public appeal",California,California
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/15/2014,10:43 AM,Unknown,Unknown,San Diego Gas & Electric Co,"San Diego & Orange Counties, California",WECC,"3,300","1,400,000","1,400,000","wild fire, public appeal",California,California
Suspected Physical Attack,2014,5/15/2014,12:10 PM,5/15/2014,12:13 PM,"Whiting Clean Energy, Inc.","Whiting, Indiana",RFC,,,,"vandalism, physical","Whiting, Indiana",Indiana
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/14/2014,3:34 PM,Unknown,Unknown,San Diego Gas & Electric Company,"San Diego & Orange Counties, California",WECC,,426,426,"wild fire, public appeal",California,California
Physical Attack - Vandalism,2014,5/12/2014,1:14 PM,5/12/2014,1:15 PM,PacifiCorp,"Layton, Utah",WECC,Unknown,Unknown,,"vandalism, physical","Layton, Utah",Utah
Physical Attack - Vandalism,2014,5/11/2014,6:38 PM,5/11/2014,6:39 PM,Great River Energy,"MISO North, Minnesota",MRO,Unknown,Unknown,,"vandalism, physical","MISO North, Minnesota",Minnesota
Severe Weather - Heavy Winds,2014,5/9/2014,6:00 PM,5/11/2014,1:00 PM,Vectren Energy Delivery of Indiana,Indiana,RFC,Unknown,"56,000","56,000","severe weather, wind",Indiana,Indiana
Physical Attack,2014,5/8/2014,8:39 AM,5/8/2014,8:40 AM,"CSolar IV South, LLC","Imperial Valley, California",WECC,Unknown,Unknown,,"vandalism, physical","Imperial Valley, California",California
Physical Attack,2014,5/8/2014,1:00 AM,5/8/2014,1:01 AM,Clarksdale Public Utilities,Mississippi,SERC,Unknown,Unknown,,"vandalism, physical",Mississippi,Mississippi
Severe Weather - Thunderstorms,2014,4/30/2014,3:50 AM,4/30/2014,2:00 PM,Southern Company,"Alabama, Florida, Georgia",SERC,296,"89,000","89,000","severe weather, thunderstorm","Alabama, Florida, Georgia",Georgia
Severe Weather - Thunderstorms,2014,4/29/2014,11:30 PM,4/29/2014,12:30 PM,Southern Company,"Mississippi, Alabama",SERC,355,"106,648","106,648","severe weather, thunderstorm","Mississippi, Alabama",Mississippi
Severe Weather - Thunderstorms,2014,4/29/2014,9:37 AM,5/1/2014,9:00 AM,Tennessee Valley Authority,"Northeastern Mississippi, Northern Alabama",SERC,Unknown,"57,000","57,000","severe weather, thunderstorm","Northeastern Mississippi, Northern Alabama",Mississippi
Electrical System Separation (Islanding),2014,4/27/2014,9:15 AM,Unknown,Unknown,Peak Reliability,"Alberta, Canada",WECC,9750,"4,000,000","4,000,000",islanding,"Alberta, Canada",Canada
Physical Attack - Vandalism,2014,4/27/2014,12:07 PM,4/27/2014,12:09 PM,PacifiCorp,"Albany, Oregon",WECC,Unknown,Unknown,,"vandalism, physical","Albany, Oregon",Oregon
Physical Attack - Vandalism,2014,4/25/2014,7:00 AM,4/25/2014,7:30 AM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,,"vandalism, physical",Delaware,Delaware
Electrical System Separation (Islanding),2014,4/24/2014,3:02 PM,4/24/2014,5:13 PM,Peak Reliability,"Alberta, Canada",WECC,Unknown,Unknown,,islanding,"Alberta, Canada",Canada
Load shedding of 100 Megawatts,2014,4/23/2014,7:45 PM,4/23/2014,8:37 PM,MISO / Entergy Transmission,"Baton Rouge, Louisiana",SERC,163,"28,000","28,000",load shedding,"Baton Rouge, Louisiana",Louisiana
Severe Weather,2014,4/12/2014,8:00 PM,4/15/2014,7:30 PM,Detroit Edison Company,Michigan,RFC,Unknown,"164,000","164,000",severe weather,Michigan,Michigan
Severe Weather - Thunderstorms,2014,4/12/2014,6:15 PM,4/14/2014,9:00 AM,Consumers Energy,Western and Central Michigan,RFC,Unknown,"50,000","50,000","severe weather, thunderstorm",Western and Central Michigan,Michigan
Physical Attack - Vandalism,2014,4/8/2014,1:00 PM,4/8/2014,1:01 PM,"Western Area Power Administration, Sierra Nevada Region","Davis, California",WECC,Unknown,Unknown,,"vandalism, physical","Davis, California",California
Voltage Reduction,2014,4/8/2014,11:09 AM,4/8/2014,11:20 AM,Puerto Rico Electric Power Authority,Puerto Rico,PR,Unknown,Unknown,,voltage reduction,Puerto Rico,Puerto Rico
Severe Weather - Wind,2014,4/4/2014,3:30 AM,4/4/2014,8:15 AM,"Entergy Services, Inc.",Central Arkansas,SERC,Unknown,"57,200","57,200","severe weather, wind",Central Arkansas,Arkansas
Fuel Supply Emergency - Coal,2014,4/3/2014,12:00 AM,Unknown,Unknown,City of Garland / Texas Municipal Power Agency,Texas,TRE,Unknown,Unknown,,"fuel supply emergency, coal",Texas,Texas
Fuel Supply Emergency - Coal,2014,4/3/2014,2:45 PM,4/9/2014,11:53 AM,We Energies,Wisconsin,MRO,Unknown,Unknown,,"fuel supply emergency, coal",Wisconsin,Wisconsin
System Wide Voltage Reduction,2014,3/31/2014,3:41 PM,3/31/2014,8:08 PM,Puerto Rico Electric Power Authority,Puerto Rico,PR,Unknown,Unknown,,voltage reduction,Puerto Rico,Puerto Rico
Electrical System Separation (Islanding),2014,3/26/2014,1:37 PM,3/26/2014,2:33 PM,Peak Reliability,Montana,WECC,Unknown,Unknown,,islanding,Montana,Montana
Physical Attack,2014,3/26/2014,4:00 PM,4/10/2014,12:00 PM,ITC Midwest LLC,Iowa,MRO,,,,"vandalism, physical",Iowa,Iowa
Physical Attack - Vandalism,2014,3/24/2014,11:07 AM,3/24/2014,11:08 AM,PacifiCorp,"Salt Lake City, Utah",WECC,,,,"vandalism, physical","Salt Lake City, Utah",Utah
Suspected Cyber Attack,2014,3/20/2014,12:00 AM,3/20/2014,12:01 AM,NRG Energy Inc 2,New York,NPCC,Unknown,Unknown,,"vandalism, cyber",New York,New York
Physical Attack - Sabatoge,2014,3/17/2014,5:25 PM,3/18/2014,12:56 AM,Arizona Public Service Co,"Glendale, Arizona",WECC,,,,vandalism,"Glendale, Arizona",Arizona
Physical Attack - Vandalism,2014,3/14/2014,12:34 PM,3/14/2014,4:45 PM,ITC Holdings,"Boone County, Iowa",MRO,Unknown,Unknown,,"vandalism, physical","Boone County, Iowa",Iowa
Severe Weather - High Winds,2014,3/12/2014,7:35 PM,3/13/2014,12:00 PM,Duke Energy Carolinas,North Carolina,SERC,250,"61,377","61,377","severe weather, wind",North Carolina,North Carolina
Suspected Physical Attack,2014,3/11/2014,12:00 AM,3/13/2014,12:00 AM,ITC Midwest LLC,"Boone County, Iowa",MRO,Unknown,Unknown,,"vandalism, physical","Boone County, Iowa",Iowa
Severe Weather - Winter Storm,2014,3/7/2014,3:30 AM,3/7/2014,9:00 PM,Duke Energy Carolinas,"Triad, North Carolina",SERC,1500,"370,900","370,900","severe weather, winter storm","Triad, North Carolina",North Carolina
Physical Attack,2014,3/5/2014,5:06 PM,3/5/2014,5:07 PM,PacifiCorp,"Salt Lake City, Utah",WECC,Unknown,Unknown,,"vandalism, physical","Salt Lake City, Utah",Utah
Fuel Supply Emergency - Coal,2014,3/4/2014,9:06 AM,3/17/2014,9:06 AM,Wisconsin Public Service Corp,"Weston, Wisconsin",MRO,Unknown,Unknown,,"fuel supply emergency, coal","Weston, Wisconsin",Wisconsin
Suspected Physical Attack,2014,3/3/2014,5:25 PM,3/3/2014,5:25 PM,"Orange and Rockland Utilities, Inc.",New York,NPCC,Unknown,Unknown,,"vandalism, physical",New York,New York
Severe Weather - Winter Storm,2014,3/3/2014,6:40 AM,3/3/2014,3:28 PM,Tennessee Valley Authority,Tennessee,SERC,Unknown,"65,904","65,904","severe weather, winter storm",Tennessee,Tennessee
Fuel Supply Emergency - Hydro,2014,3/3/2014,1:48 AM,3/3/2014,1:49 AM,Public Utility District #1 of Chelan County (CHPD),"Mid-Columbia River Generation, Washington",WECC,630,Unknown,,"fuel supply emergency, hydro","Mid-Columbia River Generation, Washington",Washington
Public Appeal due to Severe Weather - Cold,2014,3/2/2014,7:00 PM,3/4/2014,9:00 AM,ERCOT,ERCOT Region Texas,TRE,,,,"severe weather, cold",Texas,Texas
Severe Weather - Thunderstorms/High Winds,2014,2/21/2014,2:53 AM,2/21/2014,9:00 PM,Southern Company,Northern/Northeastern Georgia,SERC,221,"66,445","66,445","severe weather, thunderstorm, wind",Northern/Northeastern Georgia,Georgia
Severe Weather - Snow/Ice,2014,2/20/2014,4:40 PM,2/21/2014,11:59 PM,Ameren Missouri,"Missouri, Illinois",SERC,Unknown,"66,000","66,000","severe weather, winter storm","Missouri, Illinois",Missouri
Physical Attack - Vandalism,2014,2/18/2014,6:43 PM,2/18/2014,6:44 PM,PacifiCorp,"Bend, Oregon",WECC,,,,"vandalism, physical","Bend, Oregon",Oregon
Physical Attack - Vandalism,2014,2/14/2014,1:00 PM,2/14/2014,3:00 PM,PacifiCorp,"Portland, Oregon",WECC,Unknown,Unknown,,"vandalism, physical","Portland, Oregon",Oregon
Severe Weather - Snow/Ice,2014,2/12/2014,12:10 PM,2/15/2014,3:20 PM,Duke Energy Progress,North Carolina,SERC,Unknown,"200,000","200,000","severe weather, winter storm",North Carolina,North Carolina
Physical Attack - Vandalism,2014,2/12/2014,2:15 PM,2/12/2014,2:16 PM,ISO New England,Vermont,NPCC,Unknown,Unknown,,"vandalism, physical",Vermont,Vermont
Severe Weather - Snow/Ice,2014,2/12/2014,11:03 AM,2/15/2014,8:40 AM,South Carolina Electric and Gas,South Carolina,SERC,700,"120,124","120,124","severe weather, winter storm",South Carolina,South Carolina
Severe Weather - Snow/Ice,2014,2/12/2014,7:48 AM,2/15/2014,4:30 AM,Southern Company,Northern/Northeastern Georgia,SERC,"1,246","373,835","373,835","severe weather, winter storm",Northern/Northeastern Georgia,Georgia
Public Appeal to Reduce Electricity Usage,2014,2/7/2014,4:50 PM,2/7/2014,8:30 PM,American Electric Power,Texas,TRE,Unknown,Unknown,,public appeal,Texas,Texas
Public Appeal to Reduce Electricity Usage,2014,2/7/2014,4:30 PM,2/8/2014,9:00 AM,ERCOT,ERCOT Region Texas,TRE,Unknown,Unknown,,public appeal,Texas,Texas
Fuel Supply Emergency - Coal,2014,2/7/2014,7:00 AM,3/21/2014,8:00 AM,"Somerset Operating Company, LLC",Niagara County New York,NPCC,675,Unknown,,"fuel supply emergency, coal",Niagara County New York,New York
Fuel Supply Emergency - Natural Gas,2014,2/6/2014,1:00 PM,2/6/2014,10:00 PM,California ISO,California,WECC,"4,000",Unknown,,"fuel supply emergency, natural gas",California,California
Public Appeal to Reduce Electricity Usage,2014,2/6/2014,1:58 PM,2/6/2014,8:40 PM,American Electric Power,Rio Grande Valley Texas,TRE,Unknown,Unknown,,public appeal,Rio Grande Valley Texas,Texas
Fuel Supply Emergency - Natural Gas,2014,2/6/2014,2:15 PM,2/6/2014,7:39 PM,Southern California Edison,California,WECC,611,Unknown,,"fuel supply emergency, natural gas",California,California
Fuel Supply Emergency - Natural Gas,2014,2/6/2014,1:05 PM,2/6/2014,7:15 PM,Pacific Gas & Electric Co,Northern California,WECC,160,Unknown,,"fuel supply emergency, natural gas",Northern California,California
Public Appeal to Reduce Electricity Usage,2014,2/6/2014,3:35 PM,2/7/2014,11:30 AM,ERCOT,ERCOT Region Texas,TRE,Unknown,Unknown,,public appeal,Texas,Texas
Severe Weather - Snow/Ice,2014,2/5/2014,1:00 AM,2/9/2014,8:40 PM,FirstEnergy Corp: Met-Ed,Pennsylvania,RFC,Unknown,"144,000","144,000","severe weather, winter storm",Pennsylvania,Pennsylvania
Severe Weather - Snow/Ice,2014,2/5/2014,12:00 AM,2/9/2014,6:00 PM,FirstEnergy Corp: Potomac Edison,"Maryland, West Virginia",RFC,Unknown,"101,580","101,580","severe weather, winter storm","Maryland, West Virginia",West Virginia
Severe Weather - Ice,2014,2/5/2014,8:05 AM,2/5/2014,8:06 AM,Baltimore Gas & Electric Company,"Baltimore, Maryland",RFC,800,"181,000","181,000","severe weather, winter storm","Baltimore, Maryland",Maryland
Fuel Supply Emergency - Coal,2014,2/5/2014,7:00 AM,2/23/2014,7:00 AM,Upstate New York Power Producers,New York,NPCC,300,Unknown,,"fuel supply emergency, coal",New York,New York
Severe Weather - Snow/Ice,2014,2/5/2014,5:00 AM,2/5/2014,5:01 AM,Exelon Corporation/PECO,Pennsylvania,RFC,Unknown,"715,000","715,000","severe weather, winter storm",Pennsylvania,Pennsylvania
Severe Weather - Snow/Ice,2014,2/5/2014,7:35 AM,2/7/2014,4:03 AM,PPL Electric Utilities Corp,"Lancaster Region, Pennsylvania",RFC,Unknown,"62,159","62,159","severe weather, winter storm","Lancaster Region, Pennsylvania",Pennsylvania
Physical Attack - Vandalism,2014,1/30/2014,3:00 PM,Unknown,Unknown,Tucson Electric Power,Arizona,WECC,Unknown,Unknown,,"vandalism, physical",Arizona,Arizona
Physical Attack - Vandalism,2014,1/29/2014,4:00 PM,1/29/2014,4:44 PM,Madison Gas and Electric,Unknown,MRO,Unknown,Unknown,,"vandalism, physical",Unknown,
Public Appeal due to Severe Weather - Cold,2014,1/27/2014,2:20 PM,1/28/2014,9:00 PM,PJM Interconnection,Maryland,RFC,Unknown,Unknown,,"severe weather, cold",Maryland,Maryland
Physical Attack,2014,1/26/2014,11:00 PM,Unknown,Unknown,Public Service Electric &Gas,New Jersey,RFC,Unknown,Unknown,,"vandalism, physical",New Jersey,New Jersey
Physical Attack - Vandalism,2014,1/26/2014,9:00 PM,1/27/2014,11:00 AM,PacifiCorp,Oregon,WECC,,,,"vandalism, physical",Oregon,Oregon
Physical Attack - Vandalism,2014,1/25/2014,10:00 AM,1/25/2014,11:00 AM,Madison Gas and Electric,"Madison, Wisconsin",MRO,Unknown,Unknown,,"vandalism, physical","Madison, Wisconsin",Wisconsin
Physical Attack - Vandalism,2014,1/24/2014,3:30 PM,1/24/2014,5:00 PM,Madison Gas and Electric,Wisconsin,MRO,Unknown,Unknown,,"vandalism, physical",Wisconsin,Wisconsin
Fuel Supply Emergency - Coal,2014,1/24/2014,12:00 AM,4/9/2014,11:53 AM,We Energies,Wisconsin,RFC,Unknown,Unknown,,"fuel supply emergency, coal",Wisconsin,Wisconsin
Physical Attack - Vandalism,2014,1/23/2014,9:17 PM,1/24/2014,5:00 PM,Tacoma Power (TPWR),"Wynoochee, Washington",WECC,Unknown,Unknown,,"vandalism, physical","Wynoochee, Washington",Washington
Public Appeal due to Severe Weather - Cold,2014,1/23/2014,4:00 PM,1/24/2014,12:00 PM,Tennessee Valley Authority,Tennessee,SERC,Unknown,Unknown,,"severe weather, cold",Tennessee,Tennessee
Public Appeal due to Severe Weather - Cold,2014,1/23/2014,4:00 AM,1/24/2014,12:00 PM,Memphis Light Gas and Water Division,Tennessee,SERC,Unknown,Unknown,,"severe weather, cold",Tennessee,Tennessee
Public Appeal due to Severe Weather - Cold,2014,1/23/2014,1:04 PM,1/24/2014,9:00 AM,PJM Interconnection,Maryland,RFC,Unknown,Unknown,,"severe weather, cold",Maryland,Maryland
Physical Attack - Vandalism,2014,1/22/2014,9:45 AM,1/22/2014,8:19 PM,Duke Energy Midwest,Ohio,RFC,Unknown,Unknown,,"vandalism, physical",Ohio,Ohio
Physical Attack - Vandalism,2014,1/22/2014,1:55 PM,1/22/2014,2:55 PM,Madison Gas and Electric,Wisconsin,MRO,Unknown,Unknown,,"vandalism, physical",Wisconsin,Wisconsin
Suspected Physical Attack,2014,1/22/2014,9:15 PM,1/23/2014,3:08 AM,Public Service Electric &Gas,"Burlington County, New Jersey",RFC,Unknown,Unknown,,"vandalism, physical","Burlington County, New Jersey",New Jersey
Physical Attack - Vandalism,2014,1/22/2014,12:30 AM,1/22/2014,2:45 AM,Madison Gas and Electric,Wisconsin,MRO,Unknown,Unknown,,"vandalism, physical",Wisconsin,Wisconsin
Physical Attack - Vandalism,2014,1/21/2014,5:00 PM,Unknown,Unknown,Public Service Electric &Gas,New Jersey,RFC,Unknown,Unknown,,"vandalism, physical",New Jersey,New Jersey
Physical Attack - Vandalism,2014,1/21/2014,12:14 PM,1/21/2014,12:39 PM,Ameren Missouri,Missouri,SERC,10,Unknown,,"vandalism, physical",Missouri,Missouri
Electrical System Islanding,2014,1/18/2014,5:39 PM,Unknown,Unknown,First Energy Solutions Corp.,Unknown,RFC,Unknown,Unknown,,islanding,Unknown,
Public Appeal to Reduce Electricity Usage,2014,1/18/2014,9:00 AM,1/18/2014,9:45 AM,ERCOT,Texas,TRE,Unknown,Unknown,,public appeal,Texas,Texas
Suspected Physical Attack,2014,1/17/2014,12:20 PM,1/17/2014,12:20 PM,Dayton Power & Light Co,Ohio,RFC,Unknown,Unknown,,"vandalism, physical",Ohio,Ohio
Physical Attack - Vandalism,2014,1/16/2014,12:30 PM,1/16/2014,1:57 PM,Arizona Public Service Co,Arizona,WECC,,,,"vandalism, physical",Arizona,Arizona
Physical Attack - Vandalism,2014,1/15/2014,2:32 PM,1/15/2014,2:45 PM,PacifiCorp,Utah,WECC,Unknown,Unknown,,"vandalism, physical",Utah,Utah
Physical Attack - Vandalism,2014,1/13/2014,4:44 PM,1/13/2014,4:45 PM,Arizona Public Service Co,Arizona,WECC,,,,"vandalism, physical",Arizona,Arizona
Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,2014,1/8/2014,6:00 AM,1/8/2014,9:00 AM,South Carolina Electric and Gas,South Carolina,SERC,"4,545","677,858","677,858","severe weather, cold",South Carolina,South Carolina
Voltage Reduction due to Severe Weather - Cold,2014,1/8/2014,5:00 AM,1/8/2014,6:30 AM,American Electric Power,Unknown,RFC,576,Unknown,,"severe weather, cold",Unknown,
Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,2014,1/7/2014,6:00 PM,1/7/2014,11:00 PM,South Carolina Electric and Gas,South Carolina,SERC,"4,853","677,858","677,858","severe weather, cold",South Carolina,South Carolina
Public Appeal due to Severe Weather - Cold,2014,1/7/2014,4:15 PM,1/8/2014,1:20 PM,Duke Energy Progress,North Carolina,SERC,Unknown,Unknown,,"severe weather, cold",North Carolina,North Carolina
Voltage Reduction; Public Appeal due to Severe Weather - Cold,2014,1/7/2014,7:58 AM,1/7/2014,11:00 AM,Duke Energy Progress,North Carolina,SERC,"14,435",Unknown,,"severe weather, cold, public appeal",North Carolina,North Carolina
Fuel Supply Emergency due to Severe Weather - Cold,2014,1/7/2014,9:30 AM,1/8/2014,9:30 AM,Duke Energy Carolinas,"Piedmont North Carolina, Piedmont South Carolina",SERC,Unknown,Unknown,,"severe weather, cold","Piedmont North Carolina, Piedmont South Carolina",South Carolina
Fuel Supply Emergency - Natural Gas,2014,1/7/2014,10:59 AM,1/9/2014,9:00 AM,"Prairie Power, Inc.",Illinois,RFC,,,,"fuel supply emergency, natural gas",Illinois,Illinois
Public Appeal due to Severe Weather - Cold,2014,1/7/2014,9:00 PM,1/8/2014,9:00 AM,PJM Interconnection,Unknown,RFC,Unknown,Unknown,,"severe weather, cold",Unknown,
Public Appeal due to Severe Weather - Cold,2014,1/7/2014,6:00 AM,1/7/2014,8:30 AM,Tennessee Valley Authority,Northeast Tennessee,SERC,Unknown,Unknown,,"severe weather, cold",Northeast Tennessee,Tennessee
Public Appeal due to Severe Weather - Cold,2014,1/7/2014,6:00 AM,1/7/2014,8:30 AM,Memphis Light Gas and Water Division,Tennessee,SERC,Unknown,Unknown,,"severe weather, cold",Tennessee,Tennessee
Severe Weather - Cold,2014,1/7/2014,6:18 AM,1/7/2014,6:19 AM,PJM Interconnection,Pennsylvania,RFC,Unknown,Unknown,,"severe weather, cold",Pennsylvania,Pennsylvania
Public Appeal due to Severe Weather - Cold,2014,1/6/2014,10:00 PM,1/6/2014,10:01 PM,Louisville Gas & Electric Co,Kentucky,RFC,Unknown,Unknown,,"severe weather, cold",Kentucky,Kentucky
Public Appeal due to Severe Weather - Cold,2014,1/6/2014,8:45 PM,1/7/2014,9:00 PM,PJM Interconnection,Unknown,RFC,Unknown,Unknown,,"severe weather, cold",Unknown,
Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,7:50 PM,1/6/2014,8:49 PM,"UGI Utilities, Inc",Pennsylvania,RFC,200,"62,000","62,000","severe weather, cold",Pennsylvania,Pennsylvania
Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,7:52 PM,1/6/2014,8:45 PM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,,"severe weather, cold",Delaware,Delaware
Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,7:50 PM,1/6/2014,8:44 PM,Potomac Electric Power Co,District of Columbia,RFC,Unknown,Unknown,,"severe weather, cold",Washington DC,Washington
Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,7:50 PM,1/6/2014,8:44 PM,PJM Interconnection,Unknown,RFC,Unknown,Unknown,,"severe weather, cold",Unknown,
Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,7:50 PM,1/6/2014,8:44 PM,PPL Electric Utilities Corp,Pennsylvania,RFC,Unknown,Unknown,,"severe weather, cold",Pennsylvania,Pennsylvania
Vandalism,2014,1/6/2014,2:37 PM,1/6/2014,2:38 PM,PacifiCorp,Utah,RFC,,,,vandalism,Utah,Utah
Public Appeal due to Severe Weather - Cold,2014,1/6/2014,7:01 AM,1/7/2014,9:00 AM,ERCOT,Texas,TRE,,,,"severe weather, cold",Texas,Texas
Physical Attack,2013,12/30/2013,11:00 AM,12/30/2013,11:01 AM,PacifiCorp,Salt Lake County Utah,WECC,,,,"vandalism, physical",Salt Lake County Utah,Utah
Physical Attack,2013,12/30/2013,11:00 AM,1/1/2014,8:00 AM,Arizona Public Service Co,North of Roosevelt lake Arizona,WECC,,,,"vandalism, physical",North of Roosevelt lake Arizona,Arizona
Physical Attack,2013,12/27/2013,9:43 AM,12/27/2013,12:43 PM,Arizona Public Service Co,Gilabend Arizona,WECC,,,,"vandalism, physical",Gilabend Arizona,Arizona
Severe Weather - Ice/Snow,2013,12/23/2013,3:20 PM,12/25/2013,11:32 AM,Central Maine Power Co,Central Maine Maine,NPCC,Unknown,"52,500","52,500","severe weather, winter storm",Central Maine Maine,Maine
Severe Weather - Ice/Snow,2013,12/22/2013,6:16 AM,12/24/2013,11:59 PM,Niagara Mohawk Power Corp.,Frontier/Genesee/Northern New York,NPCC,Unknown,"59,000","59,000","severe weather, winter storm",Frontier/Genesee/Northern New York,New York
